test_file,instance_full_name,instance,instance_type,number_of_itens,capacity_of_knapsack,algo,instance_repeated,result,time
a280_n279_bounded-strongly-corr_07.ttp_cs2b.csv,a280_n279_bounded-strongly-corr_07.ttp,a280,bounded-strongly-corr,279,"181552,0",cs2b,a280_n279_bounded-strongly-corr_07.ttp,51462,"0,032"
a280_n279_bounded-strongly-corr_07.ttp_cs2b.csv,a280_n279_bounded-strongly-corr_07.ttp,a280,bounded-strongly-corr,279,"181552,0",cs2b,a280_n279_bounded-strongly-corr_07.ttp,51462,"0,037"
a280_n279_bounded-strongly-corr_07.ttp_cs2b.csv,a280_n279_bounded-strongly-corr_07.ttp,a280,bounded-strongly-corr,279,"181552,0",cs2b,a280_n279_bounded-strongly-corr_07.ttp,51462,"0,033"
a280_n279_bounded-strongly-corr_07.ttp_cs2b.csv,a280_n279_bounded-strongly-corr_07.ttp,a280,bounded-strongly-corr,279,"181552,0",cs2b,a280_n279_bounded-strongly-corr_07.ttp,51462,"0,033"
a280_n279_bounded-strongly-corr_07.ttp_cs2b.csv,a280_n279_bounded-strongly-corr_07.ttp,a280,bounded-strongly-corr,279,"181552,0",cs2b,a280_n279_bounded-strongly-corr_07.ttp,51462,"0,031"
a280_n279_bounded-strongly-corr_07.ttp_cs2b.csv,a280_n279_bounded-strongly-corr_07.ttp,a280,bounded-strongly-corr,279,"181552,0",cs2b,a280_n279_bounded-strongly-corr_07.ttp,51462,"0,033"
a280_n279_bounded-strongly-corr_07.ttp_cs2b.csv,a280_n279_bounded-strongly-corr_07.ttp,a280,bounded-strongly-corr,279,"181552,0",cs2b,a280_n279_bounded-strongly-corr_07.ttp,51462,"0,033"
a280_n279_bounded-strongly-corr_07.ttp_cs2b.csv,a280_n279_bounded-strongly-corr_07.ttp,a280,bounded-strongly-corr,279,"181552,0",cs2b,a280_n279_bounded-strongly-corr_07.ttp,51462,"0,032"
a280_n279_bounded-strongly-corr_07.ttp_cs2b.csv,a280_n279_bounded-strongly-corr_07.ttp,a280,bounded-strongly-corr,279,"181552,0",cs2b,a280_n279_bounded-strongly-corr_07.ttp,51462,"0,033"
a280_n279_bounded-strongly-corr_07.ttp_cs2b.csv,a280_n279_bounded-strongly-corr_07.ttp,a280,bounded-strongly-corr,279,"181552,0",cs2b,a280_n279_bounded-strongly-corr_07.ttp,51462,"0,033"
kroA100_n495_uncorr-similar-weights_03.ttp_cs2b.csv,kroA100_n495_uncorr-similar-weights_03.ttp,kroA100,uncorr-similar-weights,495,"135620,0",cs2b,kroA100_n495_uncorr-similar-weights_03.ttp,28099,"0,024"
kroA100_n495_uncorr-similar-weights_03.ttp_cs2b.csv,kroA100_n495_uncorr-similar-weights_03.ttp,kroA100,uncorr-similar-weights,495,"135620,0",cs2b,kroA100_n495_uncorr-similar-weights_03.ttp,28099,"0,022"
kroA100_n495_uncorr-similar-weights_03.ttp_cs2b.csv,kroA100_n495_uncorr-similar-weights_03.ttp,kroA100,uncorr-similar-weights,495,"135620,0",cs2b,kroA100_n495_uncorr-similar-weights_03.ttp,28099,"0,02"
kroA100_n495_uncorr-similar-weights_03.ttp_cs2b.csv,kroA100_n495_uncorr-similar-weights_03.ttp,kroA100,uncorr-similar-weights,495,"135620,0",cs2b,kroA100_n495_uncorr-similar-weights_03.ttp,28099,"0,019"
kroA100_n495_uncorr-similar-weights_03.ttp_cs2b.csv,kroA100_n495_uncorr-similar-weights_03.ttp,kroA100,uncorr-similar-weights,495,"135620,0",cs2b,kroA100_n495_uncorr-similar-weights_03.ttp,28099,"0,018"
kroA100_n495_uncorr-similar-weights_03.ttp_cs2b.csv,kroA100_n495_uncorr-similar-weights_03.ttp,kroA100,uncorr-similar-weights,495,"135620,0",cs2b,kroA100_n495_uncorr-similar-weights_03.ttp,28099,"0,023"
kroA100_n495_uncorr-similar-weights_03.ttp_cs2b.csv,kroA100_n495_uncorr-similar-weights_03.ttp,kroA100,uncorr-similar-weights,495,"135620,0",cs2b,kroA100_n495_uncorr-similar-weights_03.ttp,28099,"0,017"
kroA100_n495_uncorr-similar-weights_03.ttp_cs2b.csv,kroA100_n495_uncorr-similar-weights_03.ttp,kroA100,uncorr-similar-weights,495,"135620,0",cs2b,kroA100_n495_uncorr-similar-weights_03.ttp,28099,"0,018"
kroA100_n495_uncorr-similar-weights_03.ttp_cs2b.csv,kroA100_n495_uncorr-similar-weights_03.ttp,kroA100,uncorr-similar-weights,495,"135620,0",cs2b,kroA100_n495_uncorr-similar-weights_03.ttp,28099,"0,023"
kroA100_n495_uncorr-similar-weights_03.ttp_cs2b.csv,kroA100_n495_uncorr-similar-weights_03.ttp,kroA100,uncorr-similar-weights,495,"135620,0",cs2b,kroA100_n495_uncorr-similar-weights_03.ttp,28099,"0,019"
eil76_n750_uncorr_04.ttp_cs2b.csv,eil76_n750_uncorr_04.ttp,eil76,uncorr,750,"134454,0",cs2b,eil76_n750_uncorr_04.ttp,49903,"0,018"
eil76_n750_uncorr_04.ttp_cs2b.csv,eil76_n750_uncorr_04.ttp,eil76,uncorr,750,"134454,0",cs2b,eil76_n750_uncorr_04.ttp,49903,"0,018"
eil76_n750_uncorr_04.ttp_cs2b.csv,eil76_n750_uncorr_04.ttp,eil76,uncorr,750,"134454,0",cs2b,eil76_n750_uncorr_04.ttp,49903,"0,019"
eil76_n750_uncorr_04.ttp_cs2b.csv,eil76_n750_uncorr_04.ttp,eil76,uncorr,750,"134454,0",cs2b,eil76_n750_uncorr_04.ttp,49903,"0,02"
eil76_n750_uncorr_04.ttp_cs2b.csv,eil76_n750_uncorr_04.ttp,eil76,uncorr,750,"134454,0",cs2b,eil76_n750_uncorr_04.ttp,49903,"0,018"
eil76_n750_uncorr_04.ttp_cs2b.csv,eil76_n750_uncorr_04.ttp,eil76,uncorr,750,"134454,0",cs2b,eil76_n750_uncorr_04.ttp,49903,"0,02"
eil76_n750_uncorr_04.ttp_cs2b.csv,eil76_n750_uncorr_04.ttp,eil76,uncorr,750,"134454,0",cs2b,eil76_n750_uncorr_04.ttp,49903,"0,019"
eil76_n750_uncorr_04.ttp_cs2b.csv,eil76_n750_uncorr_04.ttp,eil76,uncorr,750,"134454,0",cs2b,eil76_n750_uncorr_04.ttp,49903,"0,019"
eil76_n750_uncorr_04.ttp_cs2b.csv,eil76_n750_uncorr_04.ttp,eil76,uncorr,750,"134454,0",cs2b,eil76_n750_uncorr_04.ttp,49903,"0,019"
eil76_n750_uncorr_04.ttp_cs2b.csv,eil76_n750_uncorr_04.ttp,eil76,uncorr,750,"134454,0",cs2b,eil76_n750_uncorr_04.ttp,49903,"0,018"
u574_n573_bounded-strongly-corr_04.ttp_cs2sa.csv,u574_n573_bounded-strongly-corr_04.ttp,u574,bounded-strongly-corr,573,"204506,0",cs2sa,u574_n573_bounded-strongly-corr_04.ttp,92409,"232,295"
u574_n573_bounded-strongly-corr_04.ttp_cs2sa.csv,u574_n573_bounded-strongly-corr_04.ttp,u574,bounded-strongly-corr,573,"204506,0",cs2sa,u574_n573_bounded-strongly-corr_04.ttp,92409,"251,528"
u574_n573_bounded-strongly-corr_04.ttp_cs2sa.csv,u574_n573_bounded-strongly-corr_04.ttp,u574,bounded-strongly-corr,573,"204506,0",cs2sa,u574_n573_bounded-strongly-corr_04.ttp,92409,"234,808"
u574_n573_bounded-strongly-corr_04.ttp_cs2sa.csv,u574_n573_bounded-strongly-corr_04.ttp,u574,bounded-strongly-corr,573,"204506,0",cs2sa,u574_n573_bounded-strongly-corr_04.ttp,92407,"246,325"
u574_n573_bounded-strongly-corr_04.ttp_cs2sa.csv,u574_n573_bounded-strongly-corr_04.ttp,u574,bounded-strongly-corr,573,"204506,0",cs2sa,u574_n573_bounded-strongly-corr_04.ttp,92409,"251,648"
u574_n573_bounded-strongly-corr_04.ttp_cs2sa.csv,u574_n573_bounded-strongly-corr_04.ttp,u574,bounded-strongly-corr,573,"204506,0",cs2sa,u574_n573_bounded-strongly-corr_04.ttp,92395,"226,343"
u574_n573_bounded-strongly-corr_04.ttp_cs2sa.csv,u574_n573_bounded-strongly-corr_04.ttp,u574,bounded-strongly-corr,573,"204506,0",cs2sa,u574_n573_bounded-strongly-corr_04.ttp,92409,"250,858"
u574_n573_bounded-strongly-corr_04.ttp_cs2sa.csv,u574_n573_bounded-strongly-corr_04.ttp,u574,bounded-strongly-corr,573,"204506,0",cs2sa,u574_n573_bounded-strongly-corr_04.ttp,92409,"232,17"
u574_n573_bounded-strongly-corr_04.ttp_cs2sa.csv,u574_n573_bounded-strongly-corr_04.ttp,u574,bounded-strongly-corr,573,"204506,0",cs2sa,u574_n573_bounded-strongly-corr_04.ttp,92409,"219,369"
u574_n573_bounded-strongly-corr_04.ttp_cs2sa.csv,u574_n573_bounded-strongly-corr_04.ttp,u574,bounded-strongly-corr,573,"204506,0",cs2sa,u574_n573_bounded-strongly-corr_04.ttp,92409,"232,905"
eil76_n750_uncorr_08.ttp_cs2sa.csv,eil76_n750_uncorr_08.ttp,eil76,uncorr,750,"268909,0",cs2sa,eil76_n750_uncorr_08.ttp,69767,"50,345"
eil76_n750_uncorr_08.ttp_cs2sa.csv,eil76_n750_uncorr_08.ttp,eil76,uncorr,750,"268909,0",cs2sa,eil76_n750_uncorr_08.ttp,69767,"50,195"
eil76_n750_uncorr_08.ttp_cs2sa.csv,eil76_n750_uncorr_08.ttp,eil76,uncorr,750,"268909,0",cs2sa,eil76_n750_uncorr_08.ttp,69767,"48,38"
eil76_n750_uncorr_08.ttp_cs2sa.csv,eil76_n750_uncorr_08.ttp,eil76,uncorr,750,"268909,0",cs2sa,eil76_n750_uncorr_08.ttp,69767,"48,612"
eil76_n750_uncorr_08.ttp_cs2sa.csv,eil76_n750_uncorr_08.ttp,eil76,uncorr,750,"268909,0",cs2sa,eil76_n750_uncorr_08.ttp,69767,"50,73"
eil76_n750_uncorr_08.ttp_cs2sa.csv,eil76_n750_uncorr_08.ttp,eil76,uncorr,750,"268909,0",cs2sa,eil76_n750_uncorr_08.ttp,69767,"50,315"
eil76_n750_uncorr_08.ttp_cs2sa.csv,eil76_n750_uncorr_08.ttp,eil76,uncorr,750,"268909,0",cs2sa,eil76_n750_uncorr_08.ttp,69767,"49,765"
eil76_n750_uncorr_08.ttp_cs2sa.csv,eil76_n750_uncorr_08.ttp,eil76,uncorr,750,"268909,0",cs2sa,eil76_n750_uncorr_08.ttp,69767,"50,22"
eil76_n750_uncorr_08.ttp_cs2sa.csv,eil76_n750_uncorr_08.ttp,eil76,uncorr,750,"268909,0",cs2sa,eil76_n750_uncorr_08.ttp,69767,"51,018"
eil76_n750_uncorr_08.ttp_cs2sa.csv,eil76_n750_uncorr_08.ttp,eil76,uncorr,750,"268909,0",cs2sa,eil76_n750_uncorr_08.ttp,69767,"50,35"
u724_n723_bounded-strongly-corr_01.ttp.csv,u724_n723_bounded-strongly-corr_01.ttp,u724,bounded-strongly-corr,723,"64888,0",cs2sa,u724_n723_bounded-strongly-corr_01.ttp,49354,"59,642"
u724_n723_bounded-strongly-corr_01.ttp.csv,u724_n723_bounded-strongly-corr_01.ttp,u724,bounded-strongly-corr,723,"64888,0",cs2sa,u724_n723_bounded-strongly-corr_01.ttp,49928,"63,82"
u724_n723_bounded-strongly-corr_01.ttp.csv,u724_n723_bounded-strongly-corr_01.ttp,u724,bounded-strongly-corr,723,"64888,0",cs2sa,u724_n723_bounded-strongly-corr_01.ttp,49530,"84,635"
u724_n723_bounded-strongly-corr_01.ttp.csv,u724_n723_bounded-strongly-corr_01.ttp,u724,bounded-strongly-corr,723,"64888,0",cs2sa,u724_n723_bounded-strongly-corr_01.ttp,49671,"98,143"
u724_n723_bounded-strongly-corr_01.ttp.csv,u724_n723_bounded-strongly-corr_01.ttp,u724,bounded-strongly-corr,723,"64888,0",cs2sa,u724_n723_bounded-strongly-corr_01.ttp,50209,"87,964"
u724_n723_bounded-strongly-corr_01.ttp.csv,u724_n723_bounded-strongly-corr_01.ttp,u724,bounded-strongly-corr,723,"64888,0",cs2sa,u724_n723_bounded-strongly-corr_01.ttp,49587,"130,253"
u724_n723_bounded-strongly-corr_01.ttp.csv,u724_n723_bounded-strongly-corr_01.ttp,u724,bounded-strongly-corr,723,"64888,0",cs2sa,u724_n723_bounded-strongly-corr_01.ttp,50033,"58,469"
u724_n723_bounded-strongly-corr_01.ttp.csv,u724_n723_bounded-strongly-corr_01.ttp,u724,bounded-strongly-corr,723,"64888,0",cs2sa,u724_n723_bounded-strongly-corr_01.ttp,49505,"113,881"
u724_n723_bounded-strongly-corr_01.ttp.csv,u724_n723_bounded-strongly-corr_01.ttp,u724,bounded-strongly-corr,723,"64888,0",cs2sa,u724_n723_bounded-strongly-corr_01.ttp,49938,"91,108"
u724_n723_bounded-strongly-corr_01.ttp.csv,u724_n723_bounded-strongly-corr_01.ttp,u724,bounded-strongly-corr,723,"64888,0",cs2sa,u724_n723_bounded-strongly-corr_01.ttp,49180,"100,535"
u159_n790_uncorr-similar-weights_02.ttp_cs2sa.csv,u159_n790_uncorr-similar-weights_02.ttp,u159,uncorr-similar-weights,790,"144289,0",cs2sa,u159_n790_uncorr-similar-weights_02.ttp,35909,"48,968"
u159_n790_uncorr-similar-weights_02.ttp_cs2sa.csv,u159_n790_uncorr-similar-weights_02.ttp,u159,uncorr-similar-weights,790,"144289,0",cs2sa,u159_n790_uncorr-similar-weights_02.ttp,35909,"49,009"
u159_n790_uncorr-similar-weights_02.ttp_cs2sa.csv,u159_n790_uncorr-similar-weights_02.ttp,u159,uncorr-similar-weights,790,"144289,0",cs2sa,u159_n790_uncorr-similar-weights_02.ttp,35909,"48,77"
u159_n790_uncorr-similar-weights_02.ttp_cs2sa.csv,u159_n790_uncorr-similar-weights_02.ttp,u159,uncorr-similar-weights,790,"144289,0",cs2sa,u159_n790_uncorr-similar-weights_02.ttp,35909,"48,941"
u159_n790_uncorr-similar-weights_02.ttp_cs2sa.csv,u159_n790_uncorr-similar-weights_02.ttp,u159,uncorr-similar-weights,790,"144289,0",cs2sa,u159_n790_uncorr-similar-weights_02.ttp,35909,"49,271"
u159_n790_uncorr-similar-weights_02.ttp_cs2sa.csv,u159_n790_uncorr-similar-weights_02.ttp,u159,uncorr-similar-weights,790,"144289,0",cs2sa,u159_n790_uncorr-similar-weights_02.ttp,35909,"49,131"
u159_n790_uncorr-similar-weights_02.ttp_cs2sa.csv,u159_n790_uncorr-similar-weights_02.ttp,u159,uncorr-similar-weights,790,"144289,0",cs2sa,u159_n790_uncorr-similar-weights_02.ttp,35909,"48,829"
u159_n790_uncorr-similar-weights_02.ttp_cs2sa.csv,u159_n790_uncorr-similar-weights_02.ttp,u159,uncorr-similar-weights,790,"144289,0",cs2sa,u159_n790_uncorr-similar-weights_02.ttp,35909,"49,369"
u159_n790_uncorr-similar-weights_02.ttp_cs2sa.csv,u159_n790_uncorr-similar-weights_02.ttp,u159,uncorr-similar-weights,790,"144289,0",cs2sa,u159_n790_uncorr-similar-weights_02.ttp,35909,"49,071"
u159_n790_uncorr-similar-weights_02.ttp_cs2sa.csv,u159_n790_uncorr-similar-weights_02.ttp,u159,uncorr-similar-weights,790,"144289,0",cs2sa,u159_n790_uncorr-similar-weights_02.ttp,35909,"48,56"
u159_n158_bounded-strongly-corr_01.ttp_cs2b.csv,u159_n158_bounded-strongly-corr_01.ttp,u159,bounded-strongly-corr,158,"13006,0",cs2b,u159_n158_bounded-strongly-corr_01.ttp,7398,"0,01"
u159_n158_bounded-strongly-corr_01.ttp_cs2b.csv,u159_n158_bounded-strongly-corr_01.ttp,u159,bounded-strongly-corr,158,"13006,0",cs2b,u159_n158_bounded-strongly-corr_01.ttp,7398,"0,01"
u159_n158_bounded-strongly-corr_01.ttp_cs2b.csv,u159_n158_bounded-strongly-corr_01.ttp,u159,bounded-strongly-corr,158,"13006,0",cs2b,u159_n158_bounded-strongly-corr_01.ttp,7398,"0,011"
u159_n158_bounded-strongly-corr_01.ttp_cs2b.csv,u159_n158_bounded-strongly-corr_01.ttp,u159,bounded-strongly-corr,158,"13006,0",cs2b,u159_n158_bounded-strongly-corr_01.ttp,7398,"0,01"
u159_n158_bounded-strongly-corr_01.ttp_cs2b.csv,u159_n158_bounded-strongly-corr_01.ttp,u159,bounded-strongly-corr,158,"13006,0",cs2b,u159_n158_bounded-strongly-corr_01.ttp,7398,"0,01"
u159_n158_bounded-strongly-corr_01.ttp_cs2b.csv,u159_n158_bounded-strongly-corr_01.ttp,u159,bounded-strongly-corr,158,"13006,0",cs2b,u159_n158_bounded-strongly-corr_01.ttp,7398,"0,01"
u159_n158_bounded-strongly-corr_01.ttp_cs2b.csv,u159_n158_bounded-strongly-corr_01.ttp,u159,bounded-strongly-corr,158,"13006,0",cs2b,u159_n158_bounded-strongly-corr_01.ttp,7398,"0,01"
u159_n158_bounded-strongly-corr_01.ttp_cs2b.csv,u159_n158_bounded-strongly-corr_01.ttp,u159,bounded-strongly-corr,158,"13006,0",cs2b,u159_n158_bounded-strongly-corr_01.ttp,7398,"0,01"
u159_n158_bounded-strongly-corr_01.ttp_cs2b.csv,u159_n158_bounded-strongly-corr_01.ttp,u159,bounded-strongly-corr,158,"13006,0",cs2b,u159_n158_bounded-strongly-corr_01.ttp,7398,"0,01"
u159_n158_bounded-strongly-corr_01.ttp_cs2b.csv,u159_n158_bounded-strongly-corr_01.ttp,u159,bounded-strongly-corr,158,"13006,0",cs2b,u159_n158_bounded-strongly-corr_01.ttp,7398,"0,011"
u724_n723_bounded-strongly-corr_04.ttp_cs2sa.csv,u724_n723_bounded-strongly-corr_04.ttp,u724,bounded-strongly-corr,723,"259554,0",cs2sa,u724_n723_bounded-strongly-corr_04.ttp,116716,"304,487"
u724_n723_bounded-strongly-corr_04.ttp_cs2sa.csv,u724_n723_bounded-strongly-corr_04.ttp,u724,bounded-strongly-corr,723,"259554,0",cs2sa,u724_n723_bounded-strongly-corr_04.ttp,116716,"333,736"
u724_n723_bounded-strongly-corr_04.ttp_cs2sa.csv,u724_n723_bounded-strongly-corr_04.ttp,u724,bounded-strongly-corr,723,"259554,0",cs2sa,u724_n723_bounded-strongly-corr_04.ttp,116716,"329,61"
u724_n723_bounded-strongly-corr_04.ttp_cs2sa.csv,u724_n723_bounded-strongly-corr_04.ttp,u724,bounded-strongly-corr,723,"259554,0",cs2sa,u724_n723_bounded-strongly-corr_04.ttp,116716,"335,293"
u724_n723_bounded-strongly-corr_04.ttp_cs2sa.csv,u724_n723_bounded-strongly-corr_04.ttp,u724,bounded-strongly-corr,723,"259554,0",cs2sa,u724_n723_bounded-strongly-corr_04.ttp,116716,"325,872"
u724_n723_bounded-strongly-corr_04.ttp_cs2sa.csv,u724_n723_bounded-strongly-corr_04.ttp,u724,bounded-strongly-corr,723,"259554,0",cs2sa,u724_n723_bounded-strongly-corr_04.ttp,116716,"301,787"
u724_n723_bounded-strongly-corr_04.ttp_cs2sa.csv,u724_n723_bounded-strongly-corr_04.ttp,u724,bounded-strongly-corr,723,"259554,0",cs2sa,u724_n723_bounded-strongly-corr_04.ttp,116716,"307,791"
u724_n723_bounded-strongly-corr_04.ttp_cs2sa.csv,u724_n723_bounded-strongly-corr_04.ttp,u724,bounded-strongly-corr,723,"259554,0",cs2sa,u724_n723_bounded-strongly-corr_04.ttp,116716,"300,357"
u724_n723_bounded-strongly-corr_04.ttp_cs2sa.csv,u724_n723_bounded-strongly-corr_04.ttp,u724,bounded-strongly-corr,723,"259554,0",cs2sa,u724_n723_bounded-strongly-corr_04.ttp,116716,"327,004"
u724_n723_bounded-strongly-corr_04.ttp_cs2sa.csv,u724_n723_bounded-strongly-corr_04.ttp,u724,bounded-strongly-corr,723,"259554,0",cs2sa,u724_n723_bounded-strongly-corr_04.ttp,116716,"313,039"
u159_n790_uncorr-similar-weights_03.ttp_cs2b.csv,u159_n790_uncorr-similar-weights_03.ttp,u159,uncorr-similar-weights,790,"216433,0",cs2b,u159_n790_uncorr-similar-weights_03.ttp,45444,"0,04"
u159_n790_uncorr-similar-weights_03.ttp_cs2b.csv,u159_n790_uncorr-similar-weights_03.ttp,u159,uncorr-similar-weights,790,"216433,0",cs2b,u159_n790_uncorr-similar-weights_03.ttp,45444,"0,045"
u159_n790_uncorr-similar-weights_03.ttp_cs2b.csv,u159_n790_uncorr-similar-weights_03.ttp,u159,uncorr-similar-weights,790,"216433,0",cs2b,u159_n790_uncorr-similar-weights_03.ttp,45444,"0,041"
u159_n790_uncorr-similar-weights_03.ttp_cs2b.csv,u159_n790_uncorr-similar-weights_03.ttp,u159,uncorr-similar-weights,790,"216433,0",cs2b,u159_n790_uncorr-similar-weights_03.ttp,45444,"0,04"
u159_n790_uncorr-similar-weights_03.ttp_cs2b.csv,u159_n790_uncorr-similar-weights_03.ttp,u159,uncorr-similar-weights,790,"216433,0",cs2b,u159_n790_uncorr-similar-weights_03.ttp,45444,"0,041"
u159_n790_uncorr-similar-weights_03.ttp_cs2b.csv,u159_n790_uncorr-similar-weights_03.ttp,u159,uncorr-similar-weights,790,"216433,0",cs2b,u159_n790_uncorr-similar-weights_03.ttp,45444,"0,041"
u159_n790_uncorr-similar-weights_03.ttp_cs2b.csv,u159_n790_uncorr-similar-weights_03.ttp,u159,uncorr-similar-weights,790,"216433,0",cs2b,u159_n790_uncorr-similar-weights_03.ttp,45444,"0,041"
u159_n790_uncorr-similar-weights_03.ttp_cs2b.csv,u159_n790_uncorr-similar-weights_03.ttp,u159,uncorr-similar-weights,790,"216433,0",cs2b,u159_n790_uncorr-similar-weights_03.ttp,45444,"0,04"
